cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr,distance_kpc,r_galactocentric_kpc
ASCC_105,295.548,27.366,1.783,1.464,-1.635,113,62.82445527390996,2.062756077600696,74.13100459583173,0.5608524957936063,7.881801955144683
ASCC_107,297.164,21.987,1.109,-0.155,-5.156,57,58.90301571432033,-1.901557345076885,16.98243727045763,0.9017132551848512,7.69532428866514
ASCC_114,324.99,53.997,1.066,-3.716,-3.421,134,97.0820844658872,1.027818358915242,47.862990313698695,0.9380863039399624,8.290057255408607
ASCC_123,340.299,53.986,4.262,12.093,-1.407,49,104.43374596731852,-4.14120533553968,44.66836902389504,0.23463162834350074,8.18347043486106
ASCC_127,347.205,64.974,2.633,7.474,-1.745,117,112.34957744165082,4.232104710808196,18.197018176288072,0.379794910748196,8.273445263747549
ASCC_16,81.198,1.655,2.838,1.355,-0.015,175,201.1395755873416,-18.373357827362863,13.489632380568445,0.3523608174770965,8.434757133183329
ASCC_19,81.982,-1.987,2.768,1.152,-1.234,149,204.91335623584655,-19.43791222692856,10.471285020627684,0.36127167630057805,8.432199764849871
ASCC_21,82.179,3.527,2.866,1.404,-0.632,90,199.9379496257487,-16.598171867717564,8.912505467113453,0.34891835310537334,8.437108164144284
ASCC_32,105.714,-26.512,1.23,-3.307,3.477,186,237.9763625212136,-9.432396088185609,25.118869830988675,0.8130081300813008,8.574288976682947
ASCC_58,153.657,-55.001,2.06,-13.276,2.786,133,281.67101643371296,1.2630272786727164,52.48072067145216,0.4854368932038835,8.037888147120501
ASCC_66,168.367,-55.437,0.999,-11.331,2.969,22,289.279807785946,4.816445982782231,58.88436294945623,1.001001001001001,7.849327366057975
ASCC_67,175.28,-61.013,0.482,-6.766,0.919,26,294.5148758237292,0.7043820186631816,37.153537595204696,2.074688796680498,7.502531818435332
ASCC_77,212.694,-62.331,0.842,-4.243,-3.22,141,311.9982960293136,-0.8640197551899884,81.28302305789093,1.187648456057007,7.380378749190551
ASCC_79,229.731,-60.798,1.176,-2.914,-4.232,113,319.97686296298536,-2.9041272927879827,18.620870548831206,0.8503401360544218,7.49159280945872
ASCC_85,251.853,-45.555,1.119,0.17,-4.102,105,339.8143385176896,-0.2583905207187874,70.79456289251887,0.8936550491510277,7.289767286934377
ASCC_87,255.658,-28.421,1.27,-1.18,-3.814,45,355.12455614032456,8.092663012324774,83.17639172213713,0.7874015748031495,7.345559012412391
Alessi_10,301.233,-10.555,2.233,1.469,-7.879,70,31.597764986712125,-21.058056054313514,91.20109194638908,0.44782803403493054,7.76912360662041
Alessi_13,51.762,-35.821,9.584,36.332,-4.709,48,237.53210030935455,-55.94117980795696,35.48135450617081,0.10434056761268781,8.153518690730793
Alessi_19,274.741,12.311,1.71,-1.005,-7.073,60,40.403501691883086,12.71011159811004,25.70394879669197,0.5847953216374269,7.69647849437615
Alessi_20,2.593,58.742,2.311,8.195,-2.341,119,117.61445752037092,-3.70512458929773,9.332538499404745,0.4327131112072696,8.330942837273
Alessi_21,107.69,-9.363,1.72,-5.475,2.602,113,223.45767305095703,-0.0135902724696009,66.06937091565955,0.5813953488372093,8.553378018310319
Alessi_24,260.764,-62.693,2.059,-0.488,-8.999,156,328.9843523572211,-14.57168375818413,72.44361827871234,0.4856726566294317,7.722953238878792
Alessi_43,132.631,-41.738,1.032,-5.546,3.869,284,262.54617296627504,1.5011469237924016,11.4815347022194,0.9689922480620154,8.303398746646458
Alessi_5,160.819,-61.081,2.501,-15.411,2.503,297,288.0578680532892,-1.966090073094112,67.60828566222641,0.39984006397441024,8.007149888452771
Alessi_Teutsch_12,255.421,-58.981,1.632,-2.134,-8.952,41,330.635526509614,-10.33722896685841,87.0963704709875,0.6127450980392157,7.602398083052444
Alessi_Teutsch_5,332.218,61.103,1.111,-1.895,-3.207,127,104.53595067779511,4.17876182131205,18.620870548831206,0.9000900090009001,8.39241867767396
Antalova_2,262.462,-32.541,0.842,2.037,-1.65,27,355.1409886291861,0.9291252467029452,12.022642234116692,1.187648456057007,6.939504382545314
Aveni_Hunter_1,354.175,48.205,2.348,-0.184,-2.087,82,110.28349428678276,-12.822757305866167,10.471285020627684,0.42589437819420783,8.27513357540831
BDSB91,96.319,-10.551,1.033,-3.183,1.15,32,219.4681377001764,-10.553624092195571,14.125378548042052,0.9680542110358181,8.87731027937143
BDSB96,106.332,-12.327,0.844,-3.843,1.071,65,225.47675006290896,-2.561095826542604,7.943284091521296,1.1848341232227488,8.991663582061804
BH_121,174.661,-63.387,0.387,-6.0,0.63,174,294.8863088504742,-1.658066106823492,2.6302684539632835,2.5839793281653747,7.414992393704716
BH_150,204.506,-63.346,0.178,-6.395,-1.534,43,308.1284960396192,-0.945257286891097,21.877623926123007,5.617977528089888,6.417335929347775
BH_151,205.051,-61.731,0.176,-5.853,-1.878,29,308.67240780322726,0.596019925291714,15.848924964027184,5.6818181818181825,6.370024206228783
BH_164,222.311,-66.465,2.364,-7.368,-10.714,204,314.3229214079759,-6.2345029032894965,32.359382746997106,0.4230118443316413,7.833967482167042
BH_205,254.053,-40.636,0.569,-0.15,-1.083,55,344.6314622213202,1.6316073950926189,6.165949477018448,1.7574692442882252,6.444902316076904
BH_217,259.071,-40.815,0.31,-0.661,-1.826,99,346.78134452772986,-1.509915516664234,34.67368199963294,3.2258064516129035,5.037019231712626
BH_221,259.641,-32.334,0.884,2.0,-1.568,133,353.9720532454231,3.0139474632391954,10.715198228903988,1.1312217194570136,6.999594472369522
BH_23,123.449,-36.329,2.257,-7.101,7.35,86,253.9685438824478,-1.0306171525075762,28.840317564502843,0.4430660168365086,8.255326266733109
BH_54,132.413,-44.353,0.42,-4.759,5.244,42,264.4679163953648,-0.2796459022856953,8.70963704709875,2.380952380952381,8.681252465880283
BH_56,134.355,-43.181,1.078,-5.57,5.439,109,264.4697221683362,1.5479361118061956,17.78279410038923,0.9276437847866419,8.263076964568835
BH_99,159.553,-59.168,2.225,-14.494,0.919,371,286.5851535309885,-0.5916114991865906,95.4992627963112,0.449438202247191,8.005314706261762
Basel_18,201.967,-62.306,0.508,-5.008,-2.05,49,307.1506950100282,0.266973428241477,27.542290662215265,1.968503937007874,7.108519714784812
Berkeley_47,292.127,17.362,0.402,-1.894,-5.444,52,52.54505205813241,-0.041723711797164,21.877623926123007,2.487562189054726,6.89791708729511
Berkeley_50,302.505,34.967,0.246,-3.398,-5.072,82,72.40881743857,0.9239797980851504,75.85777749219503,4.065040650406504,7.907792228358594
Berkeley_86,305.084,38.688,0.558,-3.447,-5.402,23,76.64978897200152,1.2759872557523269,10.964780998322173,1.7921146953405016,7.902961798959831
Berkeley_87,305.396,37.433,0.573,-3.654,-6.264,112,75.75628587771187,0.3610082989258263,8.317639172213713,1.7452006980802794,7.876384445488073
Berkeley_90,308.819,46.843,0.302,-2.829,-4.369,82,84.88278882023016,3.793430329568523,5.12861429039393,3.3112582781456954,8.49095327557756
Biurakan_2,302.283,35.488,0.542,-3.169,-6.843,47,72.74726847377087,1.3596697977327037,9.332538499404745,1.8450184501845017,7.777062774156578
Bochum_11,161.769,-60.096,0.389,-6.335,1.742,61,288.0115750077363,-0.8772045337418173,6.309576215861531,2.570694087403599,7.724199131595072
Bochum_13,259.333,-35.529,0.567,-0.286,-1.284,57,351.2106072969847,1.3831706212090722,8.912505467113453,1.7636684303350971,6.385237043557211
Bochum_4,112.877,-17.229,0.761,-3.014,1.848,21,232.77186502758516,0.7338404352711613,95.4992627963112,1.314060446780552,8.978094087524292
COIN-Gaia_3,18.739,60.505,0.775,-2.431,-1.791,85,125.8250444209989,-2.234571838738859,48.97788838992469,1.2903225806451613,8.938014244666213
Collinder_132,108.485,-30.758,1.501,-4.14,3.732,86,242.9226063893501,-9.103931289641952,24.547081610382136,0.6662225183211193,8.441784694538901
Collinder_135,109.362,-37.044,3.278,-9.975,6.157,324,248.98836520431976,-11.200966148640614,26.302684539632835,0.3050640634533252,8.23403965874265
Collinder_140,110.882,-31.966,2.594,-8.074,4.789,124,244.94342690459945,-7.818240171192694,26.915337400578164,0.3855050115651504,8.290970658007707
Collinder_185,125.833,-36.349,0.626,-4.924,3.879,58,255.06629798272877,0.5451560925747398,61.65949477018448,1.597444089456869,8.67209521518253
Collinder_197,131.202,-41.28,1.034,-5.808,3.933,229,261.51744196174616,0.9561174639889652,14.125378548042052,0.9671179883945841,8.31979290559082
Collinder_205,135.119,-48.984,0.483,-4.797,3.918,81,269.2034970750305,-1.850993169401825,4.570880290185208,2.070393374741201,8.409293236568073
Collinder_258,186.798,-60.767,0.764,-7.051,-0.288,110,299.9741918479387,1.9654340426809327,97.72367059324804,1.3089005235602094,7.553922405520741
Collinder_271,202.453,-64.199,0.353,-5.697,-1.579,34,307.09334632138234,-1.6377440210234142,61.65949477018448,2.8328611898017,6.800236080484005
Collinder_272,202.586,-61.319,0.414,-3.441,-1.798,255,307.58373743486266,1.20085578316123,45.70880290185209,2.4154589371980677,6.919013799456183
Collinder_359,270.598,3.26,1.786,0.637,-8.668,269,30.228250925768705,12.394082026505332,37.153537595204696,0.5599104143337066,7.654450038151686
Collinder_394,283.092,-20.229,1.388,-1.459,-5.882,156,14.869970306505532,-9.268193553011058,91.20109194638908,0.7204610951008646,7.43699603768738
Collinder_419,304.534,40.732,0.952,-2.708,-6.382,48,78.10062782614432,2.7775624822074585,19.49844428490234,1.050420168067227,7.972046448422213
Collinder_469,274.143,-18.309,0.399,0.089,-1.679,24,12.736331987060485,-0.870814170545249,9.54992627963112,2.506265664160401,5.7045002743181525
Collinder_69,83.792,9.813,2.462,1.194,-2.118,620,195.162288318142,-12.05052557652056,12.589251353447189,0.4061738424045491,8.506030075300584
Collinder_95,97.788,9.894,1.458,-2.263,-5.159,136,201.82550877827865,0.0484957419935998,19.054616384945497,0.6858710562414266,8.762418918431123
Czernik_40,295.661,21.145,0.207,-2.249,-4.613,62,57.473615821710304,-1.1136026635218823,25.118869830988675,4.830917874396135,6.863642632903006
Czernik_41,297.754,25.29,0.369,-2.932,-6.164,181,62.02376846110584,-0.6899169769142763,12.88249947737535,2.710027100271003,7.256773539393372
DBSB_101,242.631,-49.014,0.52,-1.822,-2.193,36,332.99897709979444,1.8784957961541275,11.220189470737862,1.923076923076923,6.468591278206086
DBSB_104,255.997,-51.088,0.908,-0.443,-2.692,20,337.21606105746673,-5.866482240987884,26.915337400578164,1.1013215859030836,7.12457379632125
DBSB_21,130.571,-40.737,0.613,-5.998,4.44,14,260.796162192307,0.9178781267234358,9.54992627963112,1.6313213703099512,8.536119717384848
DBSB_43,150.962,-59.232,0.187,-5.056,3.142,26,282.9269944926697,-3.033210726192108,24.547081610382136,5.347593582887701,8.66475565213634
Dias_5,274.385,-19.707,0.744,1.798,-0.945,61,11.614052048437234,-1.7356391609735202,9.54992627963112,1.3440860215053763,6.81140882014741
Dolidze_3,303.803,36.832,0.496,-2.875,-5.613,16,74.54487295041504,1.0728305149387716,8.912505467113453,2.0161290322580645,7.829714386542683
Dolidze_5,305.025,39.331,0.443,-1.929,-5.384,137,77.15403800628515,1.6778080973630616,63.09576215861531,2.2573363431151243,7.931526887988539
Dolidze_53,296.588,24.613,0.478,-1.494,-4.609,30,60.90472427221575,-0.1210002735074289,6.918312139914402,2.092050209205021,7.336127070587773
Dolidze_8,306.129,42.3,0.993,-2.633,-5.91,39,80.07160605447153,2.6842334608838416,15.48816822976791,1.0070493454179255,8.010081976905193
ESO_130_13,185.782,-59.644,0.386,-4.422,-0.417,120,299.3569390059432,3.0310980511567776,33.88443198353887,2.5906735751295336,7.215086740061935
ESO_226_06,246.04,-51.151,0.389,-2.181,-3.308,19,333.0811067590232,-1.1778781963865232,32.359382746997106,2.570694087403599,5.945305846605183
FSR_0158,296.99,26.04,0.139,-2.748,-5.432,14,62.32044009147488,0.2840834008121388,10.232935315766705,7.194244604316546,7.964758038309886
FSR_0165,299.546,26.761,0.376,-2.782,-5.558,60,64.11507852486058,-1.3098879265867245,15.48816822976791,2.6595744680851063,7.36076858882462
FSR_0198,300.614,35.681,0.486,-3.56,-6.611,82,72.18196244031309,2.608813394696781,4.677352234557818,2.05761316872428,7.74434935057242
FSR_0238,308.693,41.417,0.596,-2.902,-4.547,29,80.47693328203104,0.6198177761962131,74.13100459583173,1.6778523489932886,8.01703231341596
FSR_0284,314.141,49.362,0.312,-2.503,-3.504,17,89.07198168409617,2.5820349916413305,75.85777749219503,3.2051282051282053,8.681963733505519
FSR_0336,327.711,55.243,0.369,-3.066,-2.855,137,99.08968070294348,0.9617712007829842,47.862990313698695,2.710027100271003,8.958941727558921
FSR_0398,339.135,64.153,1.043,-3.218,-1.109,55,108.86911915565176,5.028732080800936,18.197018176288072,0.9587727708533078,8.479181865144103
FSR_0551,24.938,64.878,1.063,0.112,-1.422,44,128.03346201200466,2.4858874629575376,13.489632380568445,0.9407337723424272,8.732494776637976
FSR_1117,94.159,-8.945,1.049,-3.711,0.704,26,217.046474103916,-11.764507885535304,15.48816822976791,0.9532888465204957,8.884690615293525
FSR_1509,147.006,-55.073,0.233,-4.049,2.723,32,278.6704977077124,-1.0861525938624408,61.65949477018448,4.291845493562231,8.594891900339714
Graham_1,164.134,-63.018,0.218,-6.324,2.178,14,290.3193360733237,-2.9948913641769748,15.48816822976791,4.587155963302752,7.817398613775943
Gulliver_10,123.09,-38.676,1.652,-4.443,4.965,42,255.77127018557653,-2.561322209921046,9.332538499404745,0.6053268765133172,8.29138276715681
Gulliver_15,272.599,-16.723,0.506,-1.06,-1.638,58,13.423410834920489,1.181303456902936,85.1137701777428,1.976284584980237,6.2170577142393935
Gulliver_17,302.654,35.871,0.555,-1.078,-3.029,98,73.23274344392074,1.3155947405143458,69.18312139914401,1.8018018018018016,7.795536155289146
Gulliver_18,302.905,26.532,0.613,-3.198,-5.646,180,65.52602888328315,-3.970562685190988,39.81070831325058,1.6313213703099512,7.593655676882861
Gulliver_19,344.19,61.106,0.634,0.893,-2.258,132,109.52477430577773,1.2553429716322193,97.72367059324804,1.5772870662460567,8.77579213499234
Gulliver_2,122.883,-37.404,0.696,-4.951,4.576,59,254.6171942039317,-2.000263752078671,6.606937091565955,1.4367816091954024,8.61487207182696
Gulliver_29,256.745,-35.205,0.905,1.325,-2.206,342,350.2295347931574,3.2799470687243546,10.715198228903988,1.1049723756906078,7.037329003000253
Gulliver_33,318.159,46.345,0.867,0.274,-3.959,78,88.62869691912906,-1.4386351975312968,47.862990313698695,1.1534025374855825,8.17607162959083
Gulliver_40,163.095,-58.394,0.589,-7.686,2.476,29,287.8496825002594,0.9476378104492093,41.686927362111874,1.697792869269949,7.771501225120808
Gulliver_43,296.283,24.558,0.351,-2.922,-5.796,49,60.71801777900063,0.0913826962941821,57.54402406055371,2.8490028490028494,7.172738151714451
Gulliver_46,186.234,-61.973,0.181,-6.946,0.125,64,299.8238403570917,0.7387124953251099,11.748980193354184,5.524861878453039,7.20110160036177
Gulliver_48,316.334,50.733,1.058,-4.781,-6.671,98,91.03287191222056,2.425772982728676,18.197018176288072,0.9451795841209829,8.1936049938696
Gulliver_5,132.626,-45.509,0.406,-5.102,4.904,15,265.45763512508324,-0.8957896793409744,38.01893295314407,2.463054187192118,8.671809395852723
Gulliver_50,181.362,-62.678,0.514,-7.204,1.663,62,297.6826345353023,-0.2759157476771736,40.73804030443489,1.9455252918287937,7.420920484853539
Gulliver_6,83.278,-1.652,2.367,-0.007,-0.207,318,205.2457914758232,-18.137495566467205,16.595861056887003,0.4224757076468103,8.486864300762926
Gulliver_60,303.436,29.672,0.899,1.752,0.219,117,68.41307924387152,-2.6394202831499904,93.32538499404744,1.1123470522803114,7.782084165030695
Gulliver_9,126.998,-47.929,1.985,-5.992,6.915,252,265.03689424526635,-5.429164230520956,17.78279410038923,0.5037783375314862,8.180660559538289
Haffner_13,115.209,-30.073,1.742,-6.184,5.879,197,245.0356045629917,-3.656337448621112,20.41737675660413,0.574052812858783,8.379898323216322
Harvard_16,262.781,-36.813,0.623,-0.636,-0.778,347,351.71723199696913,-1.6397324655056231,72.44361827871234,1.6051364365971108,6.538343722724417
Hogg_15,190.906,-63.101,0.266,-6.018,-0.461,72,302.04826294187103,-0.2426631882240134,2.1877623926123007,3.7593984962406015,6.9061893683337345
Hogg_19,247.236,-49.11,0.369,-2.05,-3.125,34,335.0803545102857,-0.3078792453343497,18.620870548831206,2.710027100271003,5.77825675827968
Hogg_21,251.414,-47.747,0.366,-0.937,-2.206,27,337.95021627214413,-1.450694946272046,89.12505467113454,2.73224043715847,5.683672552747393
IC_1396,324.745,57.514,1.066,-2.355,-4.495,403,99.30898619044754,3.755219503514716,12.022642234116692,0.9380863039399624,8.324827005474244
IC_2391,130.292,-52.991,6.582,-24.644,23.316,222,270.38641414207893,-6.737090536239538,28.840317564502843,0.15192950470981464,8.122383865484467
IC_2395,130.531,-48.09,1.379,-4.464,3.293,291,266.5794328615321,-3.6271697580793294,20.41737675660413,0.7251631617113851,8.197076091609949
IC_2581,156.867,-57.626,0.352,-7.275,3.594,103,284.591091840104,0.0259990405541939,10.232935315766705,2.8409090909090913,7.90013691997365
IC_2602,160.613,-64.426,6.561,-17.582,10.7,311,289.564756841708,-4.955402594458464,36.30780069327641,0.15241579027587257,8.072419085475127
IC_2948,174.822,-63.44,0.388,-5.968,0.647,51,294.97026271308107,-1.6890369622554704,6.456541439665037,2.5773195876288657,7.411999483759342
IC_348,56.132,32.159,3.079,4.483,-6.447,139,160.48626346099985,-17.81080118002028,11.748980193354184,0.32478077297823965,8.414087738154311
IC_4665,266.554,5.615,2.868,-0.909,-8.52,167,30.514315288006628,17.05491265704702,33.11311069398671,0.3486750348675035,7.836653314120713
IC_4996,304.135,37.649,0.487,-2.681,-5.348,69,75.37076517108851,1.3084911112140256,11.220189470737862,2.053388090349076,7.858688383191278
King_25,291.122,13.696,0.31,-1.367,-3.958,124,48.85967158014561,-0.9339127264971696,44.66836902389504,3.2258064516129035,6.473042465950725
Kronberger_69,300.499,31.42,0.351,-2.741,-5.246,33,68.51542144517752,0.4332976170370722,40.73804030443489,2.8490028490028494,7.5586987945308
LP_2253,307.515,45.921,0.674,-1.251,-0.969,105,83.60442468485218,3.9736186856136815,51.2861429039393,1.4836795252225519,8.09193554726549
LP_403,161.024,-58.095,0.37,-7.047,2.935,125,286.7431748308622,0.7170152471598726,26.302684539632835,2.7027027027027026,7.786125174046618
LP_876,316.055,42.074,0.472,-2.454,-4.273,48,84.46034443616996,-3.2181572663512057,47.862990313698695,2.1186440677966103,8.192946051699323
Loden_372,172.769,-58.507,0.551,-6.807,0.936,64,292.58255572985786,2.7406734006232725,95.4992627963112,1.8148820326678765,7.612161166608007
Lynga_6,241.218,-51.96,0.383,-1.866,-2.757,30,330.3520671188998,0.3027389399248132,3.090293803866819,2.6109660574412534,5.993697416299886
Markarian_38,273.819,-18.997,0.567,0.845,-2.277,17,11.985062317245363,-0.9283548469166848,15.848924964027184,1.7636684303350971,6.407475358714022
Melotte_20,51.617,48.975,5.668,22.864,-25.378,747,147.35657675771972,-6.404004607270053,51.2861429039393,0.1764290755116443,8.270174778991567
Melotte_22,56.601,24.114,7.346,20.077,-45.503,952,166.46277741121816,-23.61456429646797,77.62468779884148,0.13612850530901172,8.243315714703469
Moffat_1,240.397,-54.149,0.402,-2.211,-3.037,15,328.5350469800621,-1.0139790858922608,77.62468779884148,2.487562189054726,6.139377089283705
Muzzio_1,134.478,-47.761,0.519,-5.261,4.224,26,268.0000532261688,-1.3715412149502697,7.762468779884148,1.9267822736030829,8.412443888359652
NGC_1333,52.297,31.31,3.344,7.425,-9.865,50,158.3430084655967,-20.50521808681212,11.4815347022194,0.29904306220095694,8.38296111873962
NGC_1977,83.815,-4.819,2.521,1.271,-0.753,115,208.47031016155375,-19.12831151512924,97.72367059324804,0.39666798889329635,8.453332129642396
NGC_1980,83.81,-5.924,2.586,1.215,0.54,121,209.51256538053931,-19.63267819495921,13.182563911826833,0.3866976024748647,8.440866348415286
NGC_2183,92.717,-6.213,1.211,-3.605,0.447,52,213.8975075736952,-11.838400916303277,17.37799912893992,0.8257638315441783,8.804380875245604
NGC_2232,96.888,-4.749,3.067,-4.745,-1.84,188,214.4581373116367,-7.470854101983961,17.78279410038923,0.32605151613955,8.390554310989803
NGC_2264,100.217,9.877,1.354,-1.69,-3.727,161,202.9406785688168,2.165901704240085,27.542290662215265,0.7385524372230428,8.806353270605232
NGC_2343,107.029,-10.619,0.898,0.193,-0.195,44,224.27196273967505,-1.1704478629509327,87.0963704709875,1.1135857461024499,8.952996480387666
NGC_2362,109.671,-24.954,0.742,-2.791,2.953,144,238.1780683060376,-5.547644894247435,5.7544024060553705,1.3477088948787062,8.902555543284903
NGC_2448,116.034,-24.837,0.878,-3.432,2.941,121,240.8466086028943,-0.426753594832671,95.4992627963112,1.1389521640091116,8.733647164072389
NGC_2451A,115.736,-38.264,5.165,-21.116,15.328,331,252.43096392868847,-7.276568063147142,35.48135450617081,0.1936108422071636,8.182020510089192
NGC_2451B,116.128,-37.954,2.719,-9.671,4.702,283,252.30935695716664,-6.856246014806638,40.73804030443489,0.3677822728944465,8.240308194468748
NGC_2547,122.525,-49.198,2.553,-8.609,4.262,215,264.4459408825275,-8.595371888877102,32.359382746997106,0.39169604386995693,8.168584965131698
NGC_2571,124.723,-29.775,0.732,-4.902,4.246,150,249.1216820643056,3.5106988935545096,26.915337400578164,1.366120218579235,8.701720967211335
NGC_2645,129.774,-46.235,0.523,-5.887,5.071,36,264.79292908873924,-2.9028567753126406,25.70394879669197,1.9120458891013383,8.510499958482109
NGC_2659,130.634,-44.999,0.452,-5.336,5.028,82,264.18241160714564,-1.6710481631055654,43.65156980428764,2.2123893805309733,8.631256068891732
